feature,feature_type,n_bins,avg_rank,avg_combined,max_combined,avg_shap,avg_ffa
item_drug_ATENOLOL,drug,10,14.5,0.00387670796973194,0.0080649673913878,0.00760673549088862,0.0001466804485752541
item_cpt_99213,cpt,9,5.444444444444445,0.14950168227205418,0.2254044576953375,0.17713368204824254,0.1218696824958658
item_cpt_20610,cpt,8,11.375,0.09519335985142421,0.1425333021054013,0.1526499303226282,0.03773678938022025
item_drug_MIRTAZAPINE,drug,8,11.0,0.0694692816494119,0.1399865595017015,0.11643875757579605,0.022499805723027726
item_cpt_99285,cpt,8,11.25,0.06638974826062233,0.1736165584466326,0.11947218373447024,0.0133073127867744
item_cpt_99203,cpt,8,11.625,0.05103437464893057,0.1260440970207506,0.08933042547940873,0.012738323818452451
item_drug_LATANOPROST,drug,8,9.5,0.0214556822821121,0.0479482530822857,0.040024346997055676,0.002887017567168598
item_drug_NYSTATIN,drug,8,9.5,0.02095957066475211,0.0438876035872942,0.03913879257511085,0.0027803487543933375
item_drug_CLOPIDOGREL,drug,8,16.125,0.011633639901788954,0.0283907022753446,0.022213887005956875,0.0010533927976210204
item_drug_VYVANSE,drug,8,13.875,0.00190590250881495,0.0047510237999997,0.0036949348460240247,0.00011687017160586893
n_event_bin_ordinal,utilization_temporal,7,1.5714285714285714,0.7063406742795557,0.9999999994775997,0.6043872449902924,0.8082941035688191
item_cpt_99283,cpt,7,11.0,0.12448716228686606,0.2514316270373762,0.15096442400977517,0.09800990056395695
item_cpt_93010,cpt,7,11.571428571428571,0.11535599329605568,0.4270024706581074,0.1961998640573482,0.03451212253476313
item_cpt_85025,cpt,7,8.714285714285714,0.0886749913363664,0.1044018154402547,0.14667673802336365,0.030673244649369186
item_cpt_99284,cpt,7,11.0,0.06328759215085682,0.1787434362710175,0.11160067459101106,0.0149745097107026
item_cpt_83735,cpt,7,14.714285714285714,0.04070298442846475,0.0998968031665688,0.07394639777677807,0.007459571080151457
item_drug_ARIPIPRAZOLE,drug,7,19.142857142857142,0.026960008113278627,0.0815523117912131,0.04419054703078812,0.0097294691957692
item_drug_LAMOTRIGINE,drug,7,16.571428571428573,0.007047543342445344,0.0192952637798205,0.011501663352012758,0.002593423332877955
item_cpt_99232,cpt,6,9.666666666666666,0.16125152497633952,0.3646899988066966,0.28923098772209027,0.03327206223058878
item_cpt_80048,cpt,6,18.333333333333332,0.05951688832306775,0.0889759297250064,0.10341192855087633,0.015621848095259183
item_icd_G894,icd,6,13.333333333333334,0.05561018774351684,0.0755412346487375,0.0960439443390637,0.015176431147969918
item_drug_LORATADINE,drug,6,11.166666666666666,0.00215212455792155,0.0039338169541099,0.00403564368256325,0.000268605433279877
item_drug_NUVARING,drug,6,11.833333333333334,0.0015509603865419832,0.0022294428068494,0.0030145085313589164,8.741224172508862e-05
item_drug_ALLOPURINOL,drug,6,17.833333333333332,0.0008310222931999833,0.0013448670235587,0.0016511024218957334,1.0942164504328372e-05
item_cpt_36415,cpt,5,10.6,0.09625060709440486,0.1714370684629909,0.15847765067637404,0.03402356351243564
item_icd_Z79899,icd,5,10.0,0.08095235113128174,0.1698796644999667,0.13633867283410203,0.025566029428461378
item_cpt_99239,cpt,5,16.2,0.056469952362475165,0.1657072861119247,0.10373566507995247,0.0092042396449979
item_drug_LYRICA,drug,5,12.8,0.050571665597274315,0.1134559875586467,0.08439075403899585,0.01675257715555282
item_drug_BACLOFEN,drug,5,17.2,0.04415958949962092,0.0903354543249378,0.07273202728401318,0.01558715171522872
item_cpt_90471,cpt,5,18.2,0.025067445404051703,0.0755999146891699,0.04243681485465942,0.007698075953444006
item_drug_TOPIRAMATE,drug,5,16.0,0.022616814070700257,0.0684776027123527,0.0383630289171792,0.006870599224221341
event_rate_delta_per30,utilization_temporal,4,1.5,0.895325859103868,0.9999999993716828,0.8910063569665441,0.899645361241192
pgx_non_cpic_drugs,pgx,4,2.5,0.7373721506462368,0.9999999993524034,0.7397873469307695,0.734956954361704
event_burstiness,utilization_temporal,4,3.0,0.6093186141846596,0.7398942499379075,0.6099988335401112,0.6086383948292078
pgx_cpic_fraction,pgx,4,3.25,0.5963557840192917,0.6739718179342428,0.5975636235379134,0.59514794450067
std_inter_event_days,utilization_temporal,4,4.75,0.37190904522499163,0.4254265838592873,0.46168891975939597,0.2821291706905874
recent90_event_count,utilization_temporal,4,6.25,0.26984470029474633,0.3837350181099802,0.3448966497654897,0.19479275082400294
item_cpt_99396,cpt,4,4.75,0.19391974540449863,0.2969860973875487,0.2955580334914757,0.09228145731752158
item_cpt_80061,cpt,4,5.25,0.1606962845155349,0.2660022813190711,0.2676389773801999,0.053753591650869896
item_cpt_83036,cpt,4,9.25,0.1466095037109727,0.1855509457215578,0.22668779153781884,0.0665312158841266
recent30_event_count,utilization_temporal,4,10.0,0.12882882336543655,0.1608518278071637,0.18900301845223144,0.0686546282786417
item_cpt_81003,cpt,4,10.75,0.12881586120637467,0.1658719320424133,0.2056560529870725,0.0519756694256768
item_cpt_71020,cpt,4,11.75,0.11956901774094802,0.1497796084472709,0.19314818535120007,0.045989850130695994
event_span_days,utilization_temporal,4,14.25,0.10528045186696872,0.1288142549884673,0.1522463772489493,0.05831452648498822
item_cpt_85610,cpt,4,8.25,0.09797643609984892,0.2030900122403585,0.17049312957003,0.025459742629667825
recent30_event_fraction,utilization_temporal,4,14.75,0.09626634526577832,0.103000008238736,0.12540861715973078,0.06712407337182595
item_icd_M542,icd,4,15.5,0.08452109693840465,0.1552536581243357,0.1454257878118777,0.023616406064931553
item_icd_I10,icd,4,18.25,0.06541985801932172,0.0725961898559824,0.11101426711927988,0.019825448919363574
item_drug_OXYCONTIN,drug,4,13.25,0.049436864019766574,0.1223486304210298,0.07881951884698032,0.02005420919255285
item_cpt_71010,cpt,4,9.5,0.026643796274090775,0.0304929924719845,0.049312034112195396,0.00397555843598615
item_cpt_92014,cpt,4,11.75,0.024439879232332852,0.0298996633124442,0.043897208651466346,0.004982549813199375
item_drug_CEFDINIR,drug,4,4.5,0.006596231827354975,0.0127106586251286,0.0121908889071206,0.00100157474758935
item_drug_GLIPIZIDE,drug,4,12.5,0.0060011445605888,0.0119486770590619,0.011679086274517326,0.0003232028466603052
item_drug_MONONESSA,drug,4,10.5,0.004078575584808375,0.0069647173077059,0.0076592694936584,0.000497881675958375
item_drug_FINASTERIDE,drug,4,13.0,0.0024017814563345253,0.0036764766318618,0.0047660716941299,3.749121853913287e-05
item_drug_PREDNISOLONE,drug,4,13.5,0.001941380888823575,0.003287871613584,0.003746846984955925,0.0001359147926913209
item_drug_HYDROCORTISONE,drug,4,15.25,0.0018522385067799253,0.0048056422409636,0.0035443473694725253,0.00016012964408736692
item_drug_CIPRODEX,drug,4,16.5,0.0014382486479860251,0.0018375396635491,0.0027573808983568002,0.0001191163976152
item_drug_IBU,drug,4,17.25,0.001206733236769175,0.0013234418915272,0.00228623277533815,0.000127233698200175
item_cpt_99217,cpt,3,16.333333333333332,0.0905571780722973,0.1061223676899673,0.15138657023089447,0.029727785913700105
item_cpt_97112,cpt,3,16.666666666666668,0.0676451332189998,0.1050627565208039,0.12243326988837083,0.012856996549628798
item_cpt_77052,cpt,3,17.333333333333332,0.0664884784149454,0.0996124981833309,0.11832611371581132,0.0146508431140795
item_cpt_84153,cpt,3,17.333333333333332,0.053504758769816564,0.0778725910743171,0.09224429171011905,0.014765225829514133
item_icd_Z23,icd,3,8.0,0.0431797178645676,0.0474343273932868,0.07237101424805474,0.013988421481080466
item_icd_J069,icd,3,11.0,0.0144329121359559,0.0164113495813087,0.027062703973225233,0.0018031202986865
item_cpt_90460,cpt,3,12.0,0.012495216370932732,0.0142664653564396,0.022754923174744267,0.0022355095671211665
item_drug_RISPERIDONE,drug,3,16.666666666666668,0.008034760675849099,0.0115396441552256,0.013964664424123233,0.0021048569275749964
item_cpt_99215,cpt,3,13.333333333333334,0.006832135508432434,0.0084768621252037,0.013302715231656834,0.00036155578520799997
item_cpt_87804,cpt,3,14.333333333333334,0.005502773505270733,0.0067468993853357,0.010814992349716867,0.00019055466082456665
item_cpt_90670,cpt,3,15.333333333333334,0.0048971490740399,0.0054077247642219,0.009622073272464301,0.00017222487561553156
item_cpt_36416,cpt,3,16.0,0.0043569470223178,0.0048222147664096,0.008364589112644934,0.00034930493199066665
item_cpt_90734,cpt,3,16.0,0.004015599278842467,0.0056368959594652,0.007525258488883533,0.0005059400688014667
item_cpt_87880,cpt,3,18.666666666666668,0.0026800528214107333,0.0046080850402382,0.0051848228303819,0.00017528281243966103
item_drug_VIAGRA,drug,3,17.0,0.0016992397222579333,0.0021256500840016,0.003362702708731366,3.577673578455638e-05
item_drug_TAMIFLU,drug,3,15.666666666666666,0.0012074494159136668,0.0012776041851738,0.0023258953277627,8.900350406470657e-05
item_drug_LORYNA,drug,3,13.666666666666666,0.0008996365745996333,0.0010206809016283,0.0017547959794291,4.447716977024901e-05
item_drug_EPIDUO,drug,3,15.666666666666666,0.0007996931750496667,0.0010446294631295,0.0015791110003137334,2.027534978562039e-05
item_drug_ACYCLOVIR,drug,3,18.0,0.0006782349388673334,0.0008749424576839,0.0013413617065828332,1.5108171151846093e-05
item_drug_DIFFERIN,drug,3,16.666666666666668,0.0005296656852991667,0.0005663342181164,0.0010419810516189667,1.735031897936602e-05
item_drug_NEXPLANON,drug,3,18.666666666666668,0.00043207916144549996,0.0006515249279565,0.0008553319546759333,8.826368215132394e-06
item_cpt_99309,cpt,2,10.0,0.1325343469325464,0.1964880871035933,0.239116543303533,0.0259521505615598
item_cpt_99231,cpt,2,11.0,0.1268068922289049,0.1854242357811833,0.23356584577946385,0.02004793867834595
item_drug_LIDOCAINE,drug,2,12.0,0.08896037222818555,0.1482088468767634,0.1443299178231527,0.03359082663321845
event_rate_ratio_late_vs_early,utilization_temporal,2,18.0,0.0639300118320935,0.0673163437833067,0.11138721098334566,0.0164728126808414
item_icd_J449,icd,2,18.0,0.037185637030808946,0.0410461305062896,0.0639414331036217,0.010429840957996251
item_cpt_84443,cpt,2,18.0,0.027184985209817852,0.0305831989914042,0.04851549128293575,0.0058544791366999995
item_cpt_96372,cpt,2,18.0,0.0263819589956924,0.030714063932272,0.0470971551412716,0.0056667628501132
item_cpt_84439,cpt,2,17.5,0.017856310205673402,0.0208469795963412,0.033035024352759,0.00267759605858785
item_cpt_86140,cpt,2,20.0,0.01622651404074285,0.0171916751245523,0.0297612552443094,0.00269177283717625
item_icd_F0390,icd,2,19.0,0.01509813129384595,0.01639369937241,0.02795380252213815,0.0022424600655537
item_drug_BUDESONIDE,drug,2,13.5,0.00310585703922865,0.0052431510556946,0.0060440781178962,0.00016763596056115646
item_drug_DEXAMETHASONE,drug,2,16.5,0.00079144569039205,0.0009994382957729,0.00156991925229465,1.2972128489429744e-05
item_drug_OCELLA,drug,2,19.0,0.0005375894186103,0.0005540387735417,0.0010652561292337,9.922707986956347e-06
item_cpt_96110,cpt,2,20.0,0.0003584303939556115,0.0007002789922233,0.0006751013326135,4.17594552978078e-05
item_drug_NORETHINDRONE,drug,2,18.0,0.00033224885836935,0.0003784263430095,0.00065863888375285,5.858832985866111e-06
item_cpt_99233,cpt,1,8.0,0.2480424546783974,0.2480424546783974,0.4549331515847108,0.0411517577720841
item_cpt_71260,cpt,1,17.0,0.156148017101346,0.156148017101346,0.2936602835351933,0.0186357506674988
item_cpt_99223,cpt,1,20.0,0.1493073052410001,0.1493073052410001,0.2870827428001266,0.0115318676818735
item_cpt_96374,cpt,1,13.0,0.1281122593495238,0.1281122593495238,0.2383839077876557,0.0178406109113918
item_drug_OLANZAPINE,drug,1,19.0,0.0818415292540547,0.0818415292540547,0.1339864634025159,0.0296965951055935
item_icd_L570,icd,1,19.0,0.0652800784324748,0.0652800784324748,0.1219550325656458,0.0086051242993038
recent90_event_fraction,utilization_temporal,1,20.0,0.0606721095405467,0.0606721095405467,0.0933466495453357,0.0279975695357578
item_cpt_80053,cpt,1,17.0,0.024891871922074,0.024891871922074,0.047347677908619,0.0024360659355291
item_cpt_92015,cpt,1,20.0,0.0216945095862706,0.0216945095862706,0.0400097752573599,0.0033792439151813
item_icd_A419,icd,1,16.0,0.0184532556184607,0.0184532556184607,0.0354588386880619,0.0014476725488595
item_cpt_99152,cpt,1,19.0,0.0157750874840321,0.0157750874840321,0.0300830899978251,0.001467084970239
item_drug_CLARITHROMYCIN,drug,1,20.0,0.001120131880065,0.001120131880065,0.0022054350580667,3.482870206342521e-05
item_drug_ZOSTAVAX,drug,1,18.0,0.0007866109432489,0.0007866109432489,0.0015625396888617,1.0682197636046933e-05
item_cpt_99173,cpt,1,20.0,0.0007426849725159,0.0007426849725159,0.0014836506879255,1.7192571063167268e-06
item_drug_FENOFIBRATE,drug,1,20.0,0.0005912762619695,0.0005912762619695,0.0011700236573435,1.252886659552317e-05
item_drug_TRETINOIN,drug,1,20.0,0.0003936542924771,0.0003936542924771,0.0007707180926671,1.6590492287078156e-05
item_drug_MISOPROSTOL,drug,1,20.0,0.0002031534463884,0.0002031534463884,0.0004041179303283,2.188962448498034e-06
