cohort_name,year,drug_name,frequency
opioid_ed,2016,SPIRIVA RESPIMAT,149
opioid_ed,2016,NUVARING,148
opioid_ed,2016,ASPIRIN EC LOW DOSE,148
opioid_ed,2016,CARBIDOPA/LEVODOPA,144
opioid_ed,2016,RESTASIS,144
opioid_ed,2016,DIGOXIN,144
opioid_ed,2016,CREON,143
opioid_ed,2016,MOMETASONE FUROATE,143
opioid_ed,2016,DILTIAZEM HCL,141
opioid_ed,2016,DIPHENHYDRAMINE HCL,140
opioid_ed,2016,ASPIRIN,139
opioid_ed,2016,TERAZOSIN HCL,136
opioid_ed,2016,CHERATUSSIN AC,134
opioid_ed,2016,NIFEDIPINE ER,134
opioid_ed,2016,CHANTIX CONTINUING MONTH,134
opioid_ed,2016,KLOR-CON M10,134
opioid_ed,2016,ANORO ELLIPTA,134
opioid_ed,2016,DULERA,132
opioid_ed,2016,PROMETHAZINE/DEXTROMETHOR,132
opioid_ed,2016,NUVIGIL,132
opioid_ed,2016,PHENAZOPYRIDINE HCL,130
opioid_ed,2016,FLUOCINONIDE,129
opioid_ed,2016,BUTALBITAL/ASPIRIN/CAFFEI,129
opioid_ed,2016,TORSEMIDE,129
opioid_ed,2016,BENAZEPRIL HCL,129
opioid_ed,2016,TRADJENTA,128
opioid_ed,2016,DOCUSATE SODIUM,127
opioid_ed,2016,DICLOFENAC POTASSIUM,127
opioid_ed,2016,AZELASTINE HCL,126
opioid_ed,2016,DONEPEZIL HCL,126
opioid_ed,2016,EFFIENT,125
opioid_ed,2016,EVZIO,124
opioid_ed,2016,BD PEN NEEDLE/SHORT/ULTRA,124
opioid_ed,2016,METOLAZONE,123
opioid_ed,2016,NAPROXEN SODIUM,122
opioid_ed,2016,METHIMAZOLE,122
opioid_ed,2016,NITROFURANTOIN MACROCRYST,121
opioid_ed,2016,XIFAXAN,121
opioid_ed,2016,Unknown,118
opioid_ed,2016,BD PEN NEEDLE/NANO/ULTRA,118
opioid_ed,2016,TRAMADOL HCL ER,117
opioid_ed,2016,LOPERAMIDE HCL,115
opioid_ed,2016,HYDROCODONE/IBUPROFEN,115
opioid_ed,2016,TERBINAFINE HCL,115
opioid_ed,2016,NEXIUM 24HR,114
opioid_ed,2016,VANCOMYCIN HYDROCHLORIDE,113
opioid_ed,2016,NITROGLYCERIN,113
opioid_ed,2016,TIMOLOL MALEATE,113
opioid_ed,2016,DALIRESP,113
opioid_ed,2016,FREESTYLE LITE TEST STRIP,111
opioid_ed,2016,DILTIAZEM CD,111
opioid_ed,2016,AMIODARONE HYDROCHLORIDE,111
opioid_ed,2016,ROZEREM,110
opioid_ed,2016,MIDODRINE HCL,110
opioid_ed,2016,IMIPRAMINE HCL,110
opioid_ed,2016,MELATONIN,110
opioid_ed,2016,BRINTELLIX,109
opioid_ed,2016,PRILOSEC OTC,109
opioid_ed,2016,METHYLPREDNISOLONE,108
opioid_ed,2016,SAPHRIS,108
opioid_ed,2016,CLOMIPRAMINE HCL,108
opioid_ed,2016,METRONIDAZOLE VAGINAL,107
opioid_ed,2016,NIFEDICAL XL,107
opioid_ed,2016,CILOSTAZOL,107
opioid_ed,2016,GLIPIZIDE XL,106
opioid_ed,2016,RENVELA,105
opioid_ed,2016,HUMIRA PEN,105
opioid_ed,2016,SUBSYS,105
opioid_ed,2016,AZATHIOPRINE,104
opioid_ed,2016,PROPRANOLOL HCL ER,104
opioid_ed,2016,BUTORPHANOL TARTRATE,104
opioid_ed,2016,DONEPEZIL HYDROCHLORIDE,104
opioid_ed,2016,VIMPAT,102
opioid_ed,2016,ENDOCET,102
opioid_ed,2016,CHLORDIAZEPOXIDE HYDROCHL,101
opioid_ed,2016,BRIMONIDINE TARTRATE,101
