feature,importance_normalized,importance_scaled,n_models
item_E611,0.005846132714045189,0.005085926670765241,3
item_E538,0.005846079662524486,0.005085880517836927,3
item_70491,0.00584602957886336,0.00508583694684045,3
item_92083,0.005846021012072438,0.005085829494038305,3
item_73552,0.005845921766566424,0.005085743153992554,3
item_G92,0.005845857082135217,0.005085686880847563,3
item_J324,0.0058458503565272536,0.005085681029808835,3
item_S4993,0.005845787309336364,0.005085626181004446,3
item_81220,0.0058456842919692035,0.005085536559574208,3
item_CHOLESTYRAMINE,0.005845672606081562,0.005085526393269314,3
item_Z008,0.0058455753029431345,0.005085441743013994,3
item_M5137,0.005845553150618728,0.005085422471282915,3
item_M25532,0.005845534096981476,0.005085405895298992,3
item_G0470,0.005845533249079933,0.005085405157654932,3
item_VIIBRYD,0.005845312478251742,0.0050852130949190786,3
item_Z13220,0.005845249701523909,0.0050851584814078895,3
item_CHANTIX CONTINUING MONTH,0.005845207196120874,0.005085121503225299,3
item_DRYSOL,0.005845094379217003,0.005085023356548106,3
item_J0110,0.005845067731091993,0.005085000173631066,3
item_M62838,0.005845024235822916,0.005084962334300371,3
item_76881,0.0058450008231180055,0.005084941966083268,3
item_I499,0.005844989386812826,0.005084932016906201,3
item_86870,0.0058449087615550215,0.005084861875811385,3
item_D2272,0.005844858035727233,0.005084817746152845,3
item_93923,0.0058448210671407,0.005084785584802869,3
item_L603,0.00584476087526516,0.0050847332200208584,3
item_88312,0.005844639709929891,0.005084627810506508,3
item_N3946,0.005844548361967443,0.005084548341041605,3
item_N83202,0.00584454173331525,0.005084542574350935,3
item_Z4789,0.005844524169422912,0.0050845272943918825,3
item_N610,0.005844473048017523,0.005084482820594959,3
item_G5603,0.005844203017628268,0.005084247903800249,3
item_86593,0.005844115233920845,0.0050841715351099236,3
item_K122,0.00584409363821017,0.005084152747612912,3
item_74181,0.005844092586638623,0.005084151832783222,3
item_TRULICITY,0.005844050949735756,0.00508411561016476,3
item_R443,0.005843953653849236,0.00508403096621834,3
item_76514,0.005843686956376897,0.005083798948942316,3
item_L03317,0.005843595508860173,0.005083719392868748,3
item_J2920,0.0058435272080932495,0.005083659973640838,3
item_F315,0.005843498288555696,0.005083634814676007,3
item_G0180,0.005843400387610149,0.005083549644349844,3
item_DOXYCYCLINE,0.005843324684799544,0.005083483785608289,3
item_BUPROPION HYDROCHLORIDE,0.005843300631508444,0.005083462860104078,3
item_90935,0.00584327440631207,0.005083440045119847,3
item_E041,0.005843170508610889,0.005083349657830452,3
item_N6002,0.0058430395539010044,0.005083235731909806,3
item_LEVEMIR FLEXTOUCH,0.005843009770698867,0.005083209821587633,3
item_73562,0.005842876713382611,0.005083094066474537,3
item_99217,0.005842798590975256,0.005083026102770224,3
item_J1756,0.00584275495933102,0.005082988144798012,3
item_99234,0.00584258660116794,0.005082841679208924,3
item_Z5189,0.005842496023413176,0.005082762879797199,3
item_Z131,0.00584247757261029,0.005082746828257646,3
item_N949,0.00584246019073953,0.005082731706650865,3
item_PNEUMOVAX 23,0.005842420457334745,0.005082697140007752,3
item_R222,0.005842413964112464,0.005082691491136268,3
item_O200,0.005842284985138242,0.005082579284035087,3
item_S61211A,0.005842224864655181,0.005082526981361984,3
item_S46911A,0.005842206854156499,0.005082511312871363,3
item_E7800,0.0058421797557345456,0.0050824877382120645,3
item_T7840X,0.005842159081849054,0.00508246975267004,3
item_Z30432,0.005842154595077794,0.005082465849339285,3
item_82945,0.005842134727182026,0.005082448564979535,3
item_62323,0.0058421240765867905,0.005082439299342058,3
item_Q0092,0.00584211208729624,0.005082428869087468,3
item_80069,0.0058420021956487956,0.005082333267278893,3
item_GUAIFENESIN/CODEINE,0.005841783022692673,0.005082142594634673,3
item_76770,0.005841780677391693,0.00508214055430658,3
item_80344,0.0058415825776629935,0.005081968214617602,3
item_93325,0.005841495719853362,0.005081892651425288,3
item_J9690,0.005841479519467237,0.005081878557667944,3
