title,pubdate,pmc_id,authors
"Impact of intensity of behavioral treatment, with or without medication treatment, for opioid use disorder on HIV outcomes in persons with HIV.",2022,PMC8628025,"Kennedy, McGinnis, Merlin, Edelman, Gordon, Korthuis, Skanderson, Williams, Wyse, Oldfield, Bryant, Justice, Fiellin, Kraemer"
Incidence and patterns of persistent opioid use in children following appendectomy.,2022,NA,"Cina, Ward, Basco, Taber, Gebregziabher, McCauley, Lockett, Moran, Mauldin, Ball"
Individual factors predict substance use treatment course patterns among patients in community-based substance use disorder treatment.,2023,PMC9836276,"Argyriou, Bakoyannis, Wu, Rattermann, Cyders"
"Infant Feeding and Weight Trajectories in the Eat, Sleep, Console Trial: A Secondary Analysis of a Randomized Clinical Trial.",2024,PMC11320328,"Merhar, Hu, Devlin, Ounpraseuth, Simon, Smith, Walsh, Lee, Das, Higgins, Crawford, Rice, Paul, Maxwell, Telang, Fung, Wright, Reynolds, Hahn, Ross, McAllister, Crowley, Shaikh, Christ, Brown, Riccio, Wong Ramsey, Braswell, Tucker, McAlmon, Dummula, Weiner, White, Howell, Newman, Snowden, Young"
Influence of Posttraumatic Stress Disorder on Daily-Level Trajectories of Opioid Use Among Trauma-Exposed Individuals in the Community Who Use Opioids.,2025,NA,"Weiss, Newberger, Raudales, Thomas, Bhuptani, Mahoney, Contractor"
Insomnia symptoms and neurofunctional correlates among adults receiving buprenorphine for opioid use disorder.,2024,PMC11175529,"White, Eglovitch, Parlier-Ahmad, Dzierzewski, James, Bjork, Moeller, Martin"
Interdisciplinary strategies to prevent long-term and detrimental opioid use following trauma: a stakeholder consensus study.,2023,PMC10391591,"Bérubé, Côté, Gagnon, Moore, Tremblay, Turgeon, Evans, Berry, Turcotte, Belzile, Dale, Orrantia, Verret, Dercksen, Martel, Dupuis, Chatillon, Lauzier"
Joint Trajectories of Insomnia Severity and Quality of Life Among Adults in Opioid Use Disorder Treatment: A Longitudinal Study With Parallel Process Latent Growth Curve Modelling.,2025,NA,"Hoadley, Felix, Hailu, Ellis, Strickland, Rabinowitz, Wolinsky, Hochheimer, Hobelmann, Huhn"
Latent patterns of polysubstance use among people who use opioids: A systematic review.,2022,NA,"Karamouzian, Pilarinos, Hayashi, Buxton, Kerr"
Latent trajectories of anxiety and depressive symptoms among adults in early treatment for nonmedical opioid use.,2022,PMC8766934,"Ellis, Rabinowitz, Wells, Liu, Finan, Stein, Ii, Hobelmann, Huhn"
Long term pre-treatment opioid use trajectories in relation to opioid agonist therapy outcomes among people who use drugs in a Canadian setting.,2021,PMC7572870,"Dong, Hayashi, Fairbairn, Milloy, DeBeck, Wood, Kerr"
"Long-term Patterns of Self-reported Opioid Use, VACS Index, and Mortality Among People with HIV Engaged in Care.",2021,PMC8442670,"Adams, Li, Barry, Gordon, Kerns, Oldfield, Rentsch, Marshall, Edelman"
Long-term opioid therapy trajectories in veteran patients with and without substance use disorder.,2024,PMC11080947,"Axson, Becker, Merlin, Lorenz, Midboe, C Black"
