drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,guideline_id,guideline_url,source
AZATHIOPRINE,azathioprine,NUDT15,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AZATHIOPRINE,azathioprine,TPMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUTICASONE PROPIONATE/SA,fluticasone propionate,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VITAMIN C,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ALLERGY MEDICATION,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ALLERGY MEDICATION,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHIMAZOLE,methimazole,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROMETHAZINE VC/CODEINE,codeine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROMETHAZINE VC/CODEINE,codeine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROMETHAZINE VC/CODEINE,codeine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DRONABINOL,dronabinol,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MICONAZOLE 7,voriconazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOCLOPRAMIDE HCL,metoclopramide,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOCLOPRAMIDE HCL,metoclopramide,CYB5R1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOCLOPRAMIDE HCL,metoclopramide,CYB5R2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOCLOPRAMIDE HCL,metoclopramide,CYB5R3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOCLOPRAMIDE HCL,metoclopramide,CYB5R4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUVOXAMINE MALEATE ER,fluvoxamine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUVOXAMINE MALEATE ER,fluvoxamine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUVOXAMINE MALEATE ER,fluvoxamine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUVOXAMINE MALEATE ER,fluvoxamine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ESOMEPRAZOLE MAGNESIUM,esomeprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SALICYLIC ACID,aminosalicylic acid,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NORTRIPTYLINE HYDROCHLORI,nortriptyline,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LANSOPRAZOLE,lansoprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MIDAZOLAM HCL,midazolam,CYP3A5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOZAPINE,clozapine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOZAPINE,clozapine,HTR2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOZAPINE,clozapine,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOZAPINE,clozapine,ANKK1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LIDOCAINE HYDROCHLORIDE,lidocaine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA COL-RITE,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA COL-RITE,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM NICOTINE TRANSDERMAL S,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM NICOTINE TRANSDERMAL S,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAZEO,pazopanib,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAZEO,pazopanib,UGT1A1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA NICOTINE,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA NICOTINE,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN EC,aspirin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN EC,aspirin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN EC,aspirin,HLA-DPB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN EC,aspirin,GP1BA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN EC,aspirin,LTC4S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN EC,aspirin,PTGS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
GUAIFENESIN/CODEINE,codeine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
GUAIFENESIN/CODEINE,codeine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
GUAIFENESIN/CODEINE,codeine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MORPHINE SULFATE ER,morphine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MORPHINE SULFATE ER,morphine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SODIUM POLYSTYRENE SULFON,divalproex sodium,POLG,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,HLA-DPB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,GP1BA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,LTC4S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,PTGS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SODIUM SULFACETAMIDE WASH,sulfacetamide,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE,methotrexate,ABCB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE,methotrexate,MTHFR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE,methotrexate,SLCO1B1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE,methotrexate,ATIC,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE,methotrexate,MTRR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCHLOROTHIAZIDE,hydrochlorothiazide,NEDD4L,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCHLOROTHIAZIDE,hydrochlorothiazide,PRKCA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCHLOROTHIAZIDE,hydrochlorothiazide,YEATS4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN LOW DOSE,aspirin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN LOW DOSE,aspirin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN LOW DOSE,aspirin,HLA-DPB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN LOW DOSE,aspirin,GP1BA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN LOW DOSE,aspirin,LTC4S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ASPIRIN LOW DOSE,aspirin,PTGS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
INDOMETHACIN ER,indomethacin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PALIPERIDONE ER,paliperidone,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ONDANSETRON HCL,ondansetron,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ONDANSETRON HCL,ondansetron,ABCB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRI FEMYNOR,amitriptyline,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRI FEMYNOR,amitriptyline,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOROURACIL,fluorouracil,DPYD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOROURACIL,fluorouracil,GSTP1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOROURACIL,fluorouracil,NQO1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOROURACIL,fluorouracil,TYMS,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOROURACIL,fluorouracil,UMPS,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARVEDILOL,carvedilol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARVEDILOL,carvedilol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARVEDILOL,carvedilol,ADRB2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARVEDILOL,carvedilol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARVEDILOL,carvedilol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARVEDILOL,carvedilol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ARMODAFINIL,modafinil,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
WARFARIN SODIUM,warfarin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
WARFARIN SODIUM,warfarin,CYP4F2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
WARFARIN SODIUM,warfarin,VKORC1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
WARFARIN SODIUM,warfarin,CALU,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
WARFARIN SODIUM,warfarin,GGCX,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
WARFARIN SODIUM,warfarin,PROC,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
WARFARIN SODIUM,warfarin,PROS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BETAMETHASONE DIPROPIONAT,methadone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BETAMETHASONE DIPROPIONAT,methadone,CYP2B6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BETAMETHASONE DIPROPIONAT,methadone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BETAMETHASONE DIPROPIONAT,methadone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN FE 1.5/30,warfarin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN FE 1.5/30,warfarin,CYP4F2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN FE 1.5/30,warfarin,VKORC1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN FE 1.5/30,warfarin,CALU,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN FE 1.5/30,warfarin,GGCX,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN FE 1.5/30,warfarin,PROC,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN FE 1.5/30,warfarin,PROS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS IBUPROFEN,ibuprofen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS IBUPROFEN,ibuprofen,CYP2C8,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRENATAL VITAMIN,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA SUPHEDRINE,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA SUPHEDRINE,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE ACETATE,hydrocodone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE ACETATE,hydrocodone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE ACETATE,hydrocodone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRAVASTATIN SODIUM,pravastatin,SLCO1B1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRAVASTATIN SODIUM,pravastatin,CYP3A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRAVASTATIN SODIUM,pravastatin,CYP3A5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRAVASTATIN SODIUM,pravastatin,CETP,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRAVASTATIN SODIUM,pravastatin,HMGCR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRAVASTATIN SODIUM,pravastatin,KIF6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRAVASTATIN SODIUM,pravastatin,LPA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN 24 FE,warfarin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN 24 FE,warfarin,CYP4F2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN 24 FE,warfarin,VKORC1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN 24 FE,warfarin,CALU,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN 24 FE,warfarin,GGCX,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN 24 FE,warfarin,PROC,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LARIN 24 FE,warfarin,PROS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SIMVASTATIN,simvastatin,SLCO1B1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SIMVASTATIN,simvastatin,ABCB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SIMVASTATIN,simvastatin,CYP3A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SIMVASTATIN,simvastatin,CYP3A5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SIMVASTATIN,simvastatin,CETP,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SIMVASTATIN,simvastatin,HMGCR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SIMVASTATIN,simvastatin,LPA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PIROXICAM,piroxicam,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NORTRIPTYLINE HCL,nortriptyline,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VITAMIN D-1000,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VALPROIC ACID,valproic acid,POLG,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VALPROIC ACID,valproic acid,ABL2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VALPROIC ACID,valproic acid,ASL,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VALPROIC ACID,valproic acid,ASS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VALPROIC ACID,valproic acid,CPS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VALPROIC ACID,valproic acid,NAGS,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VALPROIC ACID,valproic acid,OTC,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DEXAMETHASONE SODIUM PHOS,sodium nitrite,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE ACETATE/PR,hydrocodone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE ACETATE/PR,hydrocodone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE ACETATE/PR,hydrocodone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DICLOFENAC SODIUM ER,diclofenac,CYP2C8,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DICLOFENAC SODIUM ER,diclofenac,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA VITAMIN D-3,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA VITAMIN D-3,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TOBRAMYCIN,tobramycin,MT-RNR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRIMETHOPRIM SULFATE/POLY,sulfamethoxazole / trimethoprim,NAT2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRIMETHOPRIM SULFATE/POLY,sulfamethoxazole / trimethoprim,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TOLTERODINE TARTRATE ER,tolterodine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS VITAMIN E,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AQUEOUS VITAMIN D INFANTS,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DEXMETHYLPHENIDATE HYDROC,methylphenidate,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MESALAMINE,mesalazine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NAPROXEN SODIUM,naproxen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PIOGLITAZONE HYDROCHLORID,rosiglitazone,CYP2C8,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PERPHENAZINE,perphenazine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PIMOZIDE,pimozide,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPYLTHIOURACIL,propylthiouracil,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PYRIDOXINE HCL,phenazopyridine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PEG 3350/ELECTROLYTES,peginterferon alfa-2a,IFNL3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PEG 3350/ELECTROLYTES,peginterferon alfa-2a,IFNL4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
"PEN NEEDLES 31GX5/16""",zuclopenthixol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE SODIUM,methotrexate,ABCB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE SODIUM,methotrexate,MTHFR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE SODIUM,methotrexate,SLCO1B1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE SODIUM,methotrexate,ATIC,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHOTREXATE SODIUM,methotrexate,MTRR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PHOSPHA 250 NEUTRAL,amifampridine phosphate,NAT2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROEX,paroxetine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROEX,paroxetine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROEX,paroxetine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROEX,paroxetine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROEX,paroxetine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROEX,paroxetine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROEX,paroxetine,HTR1A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PHENYTOIN,phenytoin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PHENYTOIN,phenytoin,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PHENYTOIN,phenytoin,SCN1A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PHENYTOIN SODIUM EXTENDED,phenytoin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PHENYTOIN SODIUM EXTENDED,phenytoin,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PHENYTOIN SODIUM EXTENDED,phenytoin,SCN1A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ALLERGY,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ALLERGY,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA LORATADINE,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA LORATADINE,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VITAMIN B-1,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VIBRAMYCIN,tobramycin,MT-RNR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA LAXATIVE,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA LAXATIVE,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA JOCK ITCH,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA JOCK ITCH,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA IRON,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA IRON,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA IBUPROFEN,ibuprofen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA IBUPROFEN,ibuprofen,CYP2C8,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA FOOT CARE ANTIFUNGAL,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA FOOT CARE ANTIFUNGAL,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA EYE ITCH RELIEF,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA EYE ITCH RELIEF,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE ODT,risperidone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE ODT,risperidone,DRD2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE ODT,risperidone,HTR2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE ODT,risperidone,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE ODT,risperidone,ANKK1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE M-TAB,risperidone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE M-TAB,risperidone,DRD2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE M-TAB,risperidone,HTR2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE M-TAB,risperidone,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE M-TAB,risperidone,ANKK1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
