drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,guideline_id,guideline_url,source,variant_id,allele_name,allele_function,allele_frequency_global,allele_frequency_afr,allele_frequency_amr,allele_frequency_eas,allele_frequency_eur,allele_frequency_sas,allele_frequency_assigned,frequency_source,frequency_assignment_method
FLUTICASONE PROPIONATE/SA,fluticasone propionate,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
VITAMIN C,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
RA ALLERGY MEDICATION,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
RA ALLERGY MEDICATION,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
METHIMAZOLE,methimazole,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
PROMETHAZINE VC/CODEINE,codeine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
PROMETHAZINE VC/CODEINE,codeine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
PROMETHAZINE VC/CODEINE,codeine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
DRONABINOL,dronabinol,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
MICONAZOLE 7,voriconazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
METOCLOPRAMIDE HCL,metoclopramide,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
METOCLOPRAMIDE HCL,metoclopramide,CYB5R1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
METOCLOPRAMIDE HCL,metoclopramide,CYB5R2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
METOCLOPRAMIDE HCL,metoclopramide,CYB5R3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
METOCLOPRAMIDE HCL,metoclopramide,CYB5R4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
FLUVOXAMINE MALEATE ER,fluvoxamine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
FLUVOXAMINE MALEATE ER,fluvoxamine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
FLUVOXAMINE MALEATE ER,fluvoxamine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
FLUVOXAMINE MALEATE ER,fluvoxamine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
ESOMEPRAZOLE MAGNESIUM,esomeprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
SALICYLIC ACID,aminosalicylic acid,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
NORTRIPTYLINE HYDROCHLORI,nortriptyline,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
LANSOPRAZOLE,lansoprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
MIDAZOLAM HCL,midazolam,CYP3A5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
CLOZAPINE,clozapine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
CLOZAPINE,clozapine,HTR2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
CLOZAPINE,clozapine,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
CLOZAPINE,clozapine,ANKK1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
LIDOCAINE HYDROCHLORIDE,lidocaine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
RA COL-RITE,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
RA COL-RITE,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
SM NICOTINE TRANSDERMAL S,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
SM NICOTINE TRANSDERMAL S,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
PAZEO,pazopanib,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
PAZEO,pazopanib,UGT1A1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
RA NICOTINE,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
RA NICOTINE,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
ASPIRIN EC,aspirin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
ASPIRIN EC,aspirin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
ASPIRIN EC,aspirin,HLA-DPB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
ASPIRIN EC,aspirin,GP1BA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
ASPIRIN EC,aspirin,LTC4S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
