article_id,title,pubdate,pmc_id,authors,search_num,source_file,ontology_nodes,domain_primary,node_primary,ooda_phase_primary,key_phrases,comprehend_entities,rq1_score,rq2_score,n1_score,n4_score,n5_score,composite_score,include_recommended,screen_reason,human_decision
3542,"Perceptions, policies, and practices related to dispensing buprenorphine for opioid use disorder: A national survey of community-based pharmacists.",2023,HSHa1b5b21f,"Hill, Light, Green, Burns, Sanaty Zadeh, Freeman",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,opioid use disorder; practices; policies; perceptions; community-based pharmacists,,0.0,0.1429,0.0,0.0,0.0,0.1429,include,score=0.143,
3545,Risks and overdose responses: Participant characteristics from the first seven years of a national take-home naloxone program.,2022,HSHa1b5b21f,"Ericson, Eide, Lobmaier, Clausen",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,participant characteristics; participant; a national take-home naloxone program; risks and overdose responses; the first seven years,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3548,Expanding Access to Naloxone: A Necessary Step to Curb the Opioid Epidemic.,2022,HSHa1b5b21f,Houser,11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,naloxone; access; curb the opioid epidemic; a necessary step; the opioid epidemic,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3550,Buprenorphine Initiation in the Era of High-potency Synthetic Opioids: A Call for Community-based Participatory Research to Help Learning Health Systems Provide Precision Medicine for Opioid Use Disorder.,,HSHa1b5b21f,Fiellin,11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,help learning health systems provide precision medicine; learning health systems provide precision medicine; participatory research; opioid use disorder; buprenorphine initiation,,0.0,0.1429,0.0,0.0,0.0,0.1429,include,score=0.143,
3552,"Patient, family members and community pharmacists' views of a proposed overdose prevention intervention delivered in community pharmacies for patients prescribed high-strength opioids for chronic non-cancer pain: An explorative intervention development study.",2023,HSHa1b5b21f,"Mercer, Parkes, Foster, Steven, McAuley, Baldacchino, Steele, Schofield, Matheson",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,chronic non-cancer pain; community pharmacies; family members; patient; patients,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3570,Associations of Transactional Sex and Sexually Transmitted Infections Among Treatment-Seeking Individuals With Opioid Use Disorder.,2023,HSHa1b5b21f,"Ellis, Kasper, Takenaka, Buttram, Shacham",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,sexually transmitted infections; opioid use disorder; transactional sex; treatment-seeking individuals; associations,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3590,"Lost and found, safe and sound: a case report surrounding the stabilization of a medically complex young adult patient with opioid use disorder through an acute wrapround care approach.",2023,HSHa1b5b21f,"Jawed, Papakyrikos, Stewart, Villagran, Zwirlein, Zaim, Casella",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,"disorder; an acute wrapround care approach; a medically complex young adult patient; lost and found, safe and sound: a case report; the stabilization",,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3603,Risk of non-medical drug overdose following prescription of opioids post-injury: A retrospective cohort study.,2022,HSHa1b5b21f,"Zheng, Bharmal, Rajabali, Turcotte, Thomas, Garis, Pike",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,non-medical drug; injury; -; prescription; risk,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3607,"Distinguishing clinical factors associated with unintentional overdose, suicidal ideation, and attempted suicide among opioid use disorder in-patients.",2022,HSHa1b5b21f,"Stover, Rockett, Smith, LeMasters, Scott, Kelly, Winstanley",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,attempted suicide; suicidal ideation; opioid use; clinical factors; disorder,,0.0,0.1429,0.0,0.0,0.0,0.1429,include,score=0.143,
3608,"Opioid Dependence and Overdose After Surgery: Rate, Risk Factors, and Reasons.",2022,HSHa1b5b21f,"Wylie, Kong, Barth",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,risk factors; opioid dependence; rate; surgery; overdose,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
