title,pubdate,pmc_id,authors
"Common, low-frequency, rare, and ultra-rare coding variants contribute to COVID-19 severity.",2022,PMC8661833,"Fallerini, Picchiotti, Baldassarri, Zguro, Daga, Fava, Benetti, Amitrano, Bruttini, Palmieri, Croci, Lista, Beligni, Valentino, Meloni, Tanfoni, Minnai, Colombo, Cabri, Fratelli, Gabbi, Mantovani, Frullanti, Gori, Crawley, Butler-Laporte, Richards, Zeberg, Lipcsey, Hultström, Ludwig, Schulte, Pairo-Castineira, Baillie, Schmidt, Frithiof, Mari, Renieri, Furini"
Comparative Analysis of Machine Learning Algorithms Evaluating the Single Nucleotide Polymorphisms of Metabolizing Enzymes with Clinical Outcomes Following Intravenous Paracetamol in Preterm Neonates with Patent Ductus Arteriosus.,2024,NA,"Sridharan, Doss C, Cathryn R, Kumar D, Al Jufairi"
Comparing feature selection and machine learning approaches for predicting CYP2D6 methylation from genetic variation.,2023,PMC10915285,"Fong, Tan, Garg, Teh, Pan, Gupta, Krishna, Chen, Purwanto, Yap, Tan, Chan, Chan, Goh, Rane, Tan, Jiang, Han, Meaney, Wang, Keppo, Tan"
Comparing self-reported race and genetic ancestry for identifying potential differentially methylated sites in endometrial cancer: insights from African ancestry proportions using machine learning models.,2025,PMC12688174,"Asif, Kim"
Comparison of multivariate linear regression and a machine learning algorithm developed for prediction of precision warfarin dosing in a Korean population.,2021,NA,"Nguyen, Nguyen, Cho, Kim, Han, Kim, Ahn, Shin"
Comprehensive Characterization of Antidepressant Pharmacogenetics: A Systematic Review of Studies in Major Depressive Disorder.,2025,PMC12135885,"Grant, Delaney, Jackson, Bobo, Hassett, Wang, Weinshilboum, Croarkin, Gentry, Moyer, Athreya"
"Comprehensive Review of Uterine Leiomyosarcoma: Pathogenesis, Diagnosis, Prognosis, and Targeted Therapy.",2024,PMC11240800,"Yang, Madueke-Laveaux, Cun, Wlodarczyk, Garcia, Carvalho, Al-Hendy"
Comprehensive characterization of AP-1 adaptor complex genes in lung cancer reveals AP1AR as a novel prognostic and therapeutic biomarker.,2026,PMC12719575,"Solomon, Yeh, Liu, Su, Lee, Ko, Lin, Kumar, Xuan, Palekkode, Fathima, Lin, Wang, Yen"
Computational estimation of quality and clinical relevance of cancer cell lines.,2022,PMC9277610,"Trastulla, Noorbakhsh, Vazquez, McFarland, Iorio"
Construction of a Machine Learning-Based Clopidogrel Resistance Risk Prediction Model.,2025,PMC7900686,"Wang, Yan, Zeng, Mu, Yan, Zhao, Xie, Liu"
DRSPRING: Graph convolutional network (GCN)-Based drug synergy prediction utilizing drug-induced gene expression profile.,2024,NA,"Han, Kang, Lee"
Data Integration Using Advances in Machine Learning in Drug Discovery and Molecular Biology.,2021,NA,Hudson
Data science through natural language with ChatGPT's Code Interpreter.,2024,PMC11224898,Ahn
"Deciphering bisphenol A (BPA)-elicited osteoarthritis mechanisms through network toxicology and molecular docking, then de novo generation of novel therapeutic candidates.",2025,NA,"Xu, Jiang, Zhang, Luo, Wu, Wu, Huang, Falls, Samudrala, Tan"
Deciphering single-cell gene expression variability and its role in drug response.,2024,PMC11578114,"Liu, Chen"
Decoding Kidney Pathophysiology: Omics-Driven Approaches in Precision Medicine.,2024,PMC11679258,"Delrue, Speeckaert"
Decoding temporal heterogeneity in NSCLC through machine learning and prognostic model construction.,2024,PMC11170806,"Cheng, Xiao, Meng, Zhang, Zhang, Liu, Jin, Fu, Li, Chen, Xie"
Deep Learning on Histologic Slides Accurately Predicts Consensus Molecular Subtypes and Spatial Heterogeneity in Colon Cancer.,2025,NA,"Le Douget, Jacob, Lepage, Gallois, Sroussi, De Reynies, Cazelles, Gonzalez, Maussion, Bouche, Levache, Jary, Mineur, Jegou, Saillard, Morel, Taïeb, Bibeau, Emile, Laurent-Puig"
Deep learning for drug response prediction in cancer.,2021,NA,"Baptista, Ferreira, Rocha"
"Deep learning in cancer diagnosis, prognosis and treatment selection.",2021,PMC8477474,"Tran, Kondrashova, Bradley, Williams, Pearson, Waddell"
Deep learning-driven drug response prediction and mechanistic insights in cancer genomics.,2025,PMC12216877,"Yu, Fan"
DeepDRK: a deep learning framework for drug repurposing through kernel-based multi-omics integration.,2021,NA,"Wang, Yang, Chen, Wang"
