feature,importance_normalized,importance_scaled
item_NYSTATIN,0.1419164902617974,0.030899090379727708
item_84443,0.141886312375924,0.030892519830939817
item_73130,0.14188518075151793,0.030892273445444134
item_87400,0.141877852193807,0.030890677818560707
item_96160,0.1418751844253816,0.03089009697261718
item_J00,0.1418601931169675,0.03088683295592156
item_CETIRIZINE HYDROCHLORIDE,0.14184918901002194,0.030884437061727506
item_J0696,0.14183807224002284,0.030882016637714067
item_86710,0.1418338160530605,0.030881089949734538
item_KETOCONAZOLE,0.1418082872727955,0.03087553163803139
item_87430,0.1418060342265832,0.030875041088424253
item_82785,0.1418010217150519,0.03087394972795903
item_R062,0.14179080770550126,0.030871725859515958
item_SULFATRIM PEDIATRIC,0.14177747009155878,0.030868821897207573
item_KETOTIFEN FUMARATE,0.1417543966714873,0.030863798184382917
item_H6690,0.14174839745439122,0.03086249199120609
item_PREDNISOLONE SODIUM PHOSP,0.14173091720462347,0.030858686064097567
item_94664,0.1417185259048121,0.03085598814018409
item_84520,0.14171423257510007,0.030855053365214973
item_J7613,0.14168956395606352,0.0308496823340702
item_J111,0.1416809256508046,0.030847801539425183
item_PREDNISOLONE,0.1416617505840746,0.030843626604441697
item_J40,0.14166170662472244,0.030843617033291842
item_H6692,0.14162418307685296,0.03083544713355117
item_CETIRIZINE HCL ALLERGY CH,0.1416157323582512,0.030833607181637423
item_82947,0.14161562677731807,0.030833584193788798
item_H109,0.1415945944422201,0.030829004880828837
item_J7030,0.1415630597648098,0.030822138921519953
item_RANITIDINE HCL,0.14150620516860307,0.030809760125345854
item_CIPRODEX,0.1414884237163522,0.03080588861824214
item_90460,0.1414803718619589,0.030804135509944687
item_R300,0.14134229479613455,0.03077407236697657
item_R3121,0.14134229479613455,0.03077407236697657
item_R4020,0.14134229479613455,0.03077407236697657
item_R45851,0.14134229479613455,0.03077407236697657
item_TAMIFLU,0.14134229479613455,0.03077407236697657
item_TOBRAMYCIN/DEXAMETHASONE,0.14134229479613455,0.03077407236697657
item_V202,0.14134229479613455,0.03077407236697657
item_76882,0.14134229479613455,0.03077407236697657
item_CITALOPRAM HYDROBROMIDE,0.14134229479613455,0.03077407236697657
item_Z762,0.14134229479613455,0.03077407236697657
item_PROMETHAZINE/DEXTROMETHOR,0.14134229479613455,0.03077407236697657
item_71020,0.14134229479613455,0.03077407236697657
item_29130,0.14134229479613455,0.03077407236697657
item_0340,0.14134229479613455,0.03077407236697657
item_0743,0.14134229479613455,0.03077407236697657
item_S52364,0.14134229479613455,0.03077407236697657
item_S52521,0.14134229479613455,0.03077407236697657
item_S62366D,0.14134229479613455,0.03077407236697657
item_S62512A,0.14134229479613455,0.03077407236697657
item_S63502A,0.14134229479613455,0.03077407236697657
item_S8002X,0.14134229479613455,0.03077407236697657
item_S81012A,0.14134229479613455,0.03077407236697657
item_S8254X,0.14134229479613455,0.03077407236697657
item_RISPERIDONE,0.14134229479613455,0.03077407236697657
item_ROBAFEN,0.14134229479613455,0.03077407236697657
item_S0086XA,0.14134229479613455,0.03077407236697657
item_S20212,0.14134229479613455,0.03077407236697657
item_S42402,0.14134229479613455,0.03077407236697657
item_R1033,0.14134229479613455,0.03077407236697657
item_7862,0.14134229479613455,0.03077407236697657
item_80048,0.14134229479613455,0.03077407236697657
item_80301,0.14134229479613455,0.03077407236697657
item_76010,0.14134229479613455,0.03077407236697657
item_76705,0.14134229479613455,0.03077407236697657
item_76770,0.14134229479613455,0.03077407236697657
item_R6252,0.14134229479613455,0.03077407236697657
