title,pubdate,pmc_id,authors,Selected,Category
Evaluation of a Model to Target High-risk Psychiatric Inpatients for an Intensive Postdischarge Suicide Prevention Intervention.,2023,PMC9857842,"Kessler, Bauer, Bishop, Bossarte, Castro, Demler, Gildea, Goulet, King, Kennedy, Landes, Liu, Luedtke, Mair, Marx, Nock, Petukhova, Pigeon, Sampson, Smoller, Miller, Haas, Benware, Bradley, Owen, House, Urosevic, Weinstock",,EHR
Evaluation of context-specific alerts for potassium-increasing drug-drug interactions: A pre-post study.,2020,HSH61e0fc89,"Muylle, Gentens, Dupont, Cornu",,EHR
"Explainable machine-learning algorithms to differentiate bipolar disorder from major depressive disorder using self-reported symptoms, vital signs, and blood-based markers.",2023,HSH5cdd065f,"Zhu, Liu, Wang, Kou, Hu, Yuan, Yuan, Luo, Zhang",,EHR
External Validation of a Machine Learning Based Delirium Prediction Software in Clinical Routine.,2022,HSH1802395e,"Jauk, Veeranki, Kramer, Högler, Mühlecker, Eberhartl, Schueler, Chvosta, Strasser, Strasser, Leodolter",,EHR
Extraction of Electronic Health Record Data using Fast Healthcare Interoperability Resources for Automated Breast Cancer Risk Assessment.,2021,PMC8861753,"McGuinness, Zhang, Cooper, Kelkar, Dimond, Lorenzi, Crew, Kukafka",,EHR
Factors associated with poor self-management documented in home health care narrative notes for patients with heart failure.,2022,PMC11021173,"Chae, Song, Ojo, Bowles, McDonald, Barrón, Hobensack, Kennedy, Sridharan, Evans, Topaz",,EHR
Feature-weighted survival learning machine for COPD failure prediction.,2019,HSH8c1fa331,"Zhang, Wang, Courteau, Chen, Guo, Vanasse",,EHR
GWAS of longitudinal trajectories at biobank scale.,2022,PMC8948167,"Ko, German, Jensen, Shen, Wang, Mehrotra, Sun, Sinsheimer, Zhou, Zhou",,EHR
Guideline-Based Decision Support System for Nursing Homes: A Case Study with the Management of Malnutrition.,2020,HSH433acffd,"Abdellatif, Bouaud, Belmin, Seroussi",,EHR
Identifying Clinical Risk Factors for Opioid Use Disorder using a Distributed Algorithm to Combine Real-World Data from a Large Clinical Data Research Network.,2020,PMC8075517,"Tong, Chen, Duan, Lo-Ciganic, Lyu, Tao, Merkel, Kranzler, Bian, Chen",,EHR
Identifying risk of opioid use disorder for patients taking opioid medications with deep learning.,2021,PMC8324214,"Dong, Deng, Rashidian, Abell-Hart, Hou, Rosenthal, Saltz, Saltz, Wang",,EHR
Imaging Features Associated With Failure of Nonoperative Management of Intraabdominal Abscesses in Crohn Disease.,2019,PMC6855277,"Perl, Waljee, Bishu, Higgins, Wasnik, Stidham",,EHR
Impact of Embedding a Venous Thromboembolism Risk Assessment Model in the Electronic Health Record Versus Usual Care: A Cluster-Randomized Trial.,2024,HSH1cc72039,"Rothberg, Hamilton, Hu, Sheehan, Fox, Milinovich, Lisheba, Goto, Speaker, Pappas",,EHR
Impact of Idiopathic Pulmonary Fibrosis on Longitudinal Health-care Utilization in a Community-Based Cohort of Patients.,2021,PMC7803939,"Farrand, Iribarren, Vittinghoff, Levine-Hall, Ley, Minowada, Collard",,EHR
Implementation of Electronic Health Record Integration and Clinical Decision Support to Improve Emergency Department Prescription Drug Monitoring Program Use.,2024,HSH12ec1374,"Hoppe, Ledbetter, Tolle, Heard",,EHR
Improving Prediction of Fall Risk Using Electronic Health Record Data With Various Types and Sources at Multiple Times.,2020,HSH344700b1,"Jung, Park, Hwang",,EHR
Inpatient Fall Prediction Models: A Scoping Review.,2023,HSH43b76799,"Parsons, Blythe, Cramb, McPhail",,EHR
Intelligent therapeutic decision support for 30 days readmission of diabetic patients with different comorbidities.,2020,HSH53bc5535,"Ossai, Wickramasinghe",,EHR
Interventions and Operations 5 Years After Bariatric Surgery in a Cohort From the US National Patient-Centered Clinical Research Network Bariatric Study.,2020,PMC6990709,"Courcoulas, Coley, Clark, McBride, Cirelli, McTigue, Arterburn, Coleman, Wellman, Anau, Toh, Janning, Cook, Williams, Sturtevant, Horgan, Tavakkoli",,EHR
