feature,importance_normalized,importance_scaled,n_models,models,mc_cv_recall_mean,mc_cv_recall_std
item_CVS ALLERGY RELIEF CHILDR,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CVS CHILDRENS ALLERGY,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CVS ENEMA DISPOSABLE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CVS EYE ITCH RELIEF,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CVS PAIN RELIEF CHILDRENS,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F329,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_D649,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CITALOPRAM HYDROBROMIDE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CLARITIN REDITABS,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CLINDAMYCIN PHOSPHATE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CLOBETASOL PROPIONATE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CLONIDINE HYDROCHLORIDE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_E6609,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CULTURELLE IMMUNITY SUPPO,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_B80,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CODEINE/GUAIFENESIN,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_BROMPHEN/PSEUDOEPHEDRINE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_BUDESONIDE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_BUSPIRONE HYDROCHLORIDE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99218,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CHILDRENS LORATADINE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_ACNE MEDICATION 5,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_ALBENZA,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_AMITIZA,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_AMITRIPTYLINE HYDROCHLORI,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CHILDRENS IBUPROFEN 100,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_AZELASTINE HCL,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_B084,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_GUANFACINE ER,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_87172,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_87340,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_87633,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_87651,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
