cohort,age_band,bin,feature,drug_name,rank,combined_importance
non_opioid_ed,65_74,medium,item_drug_MELOXICAM,MELOXICAM,12,0.0010384895261719
non_opioid_ed,65_74,medium,item_drug_METRONIDAZOLE,METRONIDAZOLE,17,0.0004135644354189
non_opioid_ed,65_74,medium,item_drug_OFLOXACIN,OFLOXACIN,8,0.0024171094355583
non_opioid_ed,65_74,medium,item_drug_OMEPRAZOLE,OMEPRAZOLE,10,0.0014035533393371
non_opioid_ed,65_74,medium,item_drug_PREDNISONE,PREDNISONE,15,0.00086120821804
non_opioid_ed,65_74,medium,item_drug_SIMVASTATIN,SIMVASTATIN,5,0.0077216413346556
non_opioid_ed,65_74,extreme,item_drug_ALLOPURINOL,ALLOPURINOL,18,0.0013448670235587
non_opioid_ed,65_74,extreme,item_drug_ALPRAZOLAM,ALPRAZOLAM,4,0.0219038723714221
non_opioid_ed,65_74,extreme,item_drug_AMOXICILLIN,AMOXICILLIN,5,0.0157099268309332
non_opioid_ed,65_74,extreme,item_drug_ATENOLOL,ATENOLOL,19,0.0009150671692962
non_opioid_ed,65_74,extreme,item_drug_CARVEDILOL,CARVEDILOL,7,0.0032543230489636
non_opioid_ed,65_74,extreme,item_drug_CEPHALEXIN,CEPHALEXIN,13,0.0017801949590205
non_opioid_ed,65_74,extreme,item_drug_FUROSEMIDE,FUROSEMIDE,3,0.0879900491372346
non_opioid_ed,65_74,extreme,item_drug_GABAPENTIN,GABAPENTIN,10,0.0027279995582634
non_opioid_ed,65_74,extreme,item_drug_LATANOPROST,LATANOPROST,8,0.0031956919208254
non_opioid_ed,65_74,extreme,item_drug_LEVOFLOXACIN,LEVOFLOXACIN,14,0.0017320925678374
non_opioid_ed,65_74,extreme,item_drug_LISINOPRIL,LISINOPRIL,12,0.0025067457702115
non_opioid_ed,65_74,extreme,item_drug_LORAZEPAM,LORAZEPAM,20,0.0008196243839647
non_opioid_ed,65_74,extreme,item_drug_MELOXICAM,MELOXICAM,16,0.0016644773520423
non_opioid_ed,65_74,extreme,item_drug_METRONIDAZOLE,METRONIDAZOLE,17,0.0016280598001785
non_opioid_ed,65_74,extreme,item_drug_OFLOXACIN,OFLOXACIN,9,0.0028363122315541
non_opioid_ed,65_74,extreme,item_drug_OMEPRAZOLE,OMEPRAZOLE,11,0.0025748955080961
non_opioid_ed,65_74,extreme,item_drug_PREDNISONE,PREDNISONE,15,0.0017011983792303
non_opioid_ed,65_74,extreme,item_drug_SIMVASTATIN,SIMVASTATIN,6,0.0118451072404811
non_opioid_ed,65_74,high,item_drug_ALLOPURINOL,ALLOPURINOL,18,0.0007981017191432
non_opioid_ed,65_74,high,item_drug_ALPRAZOLAM,ALPRAZOLAM,5,0.0141398563762163
non_opioid_ed,65_74,high,item_drug_AMOXICILLIN,AMOXICILLIN,4,0.0202403760398459
non_opioid_ed,65_74,high,item_drug_ATENOLOL,ATENOLOL,20,0.0007209459292679
non_opioid_ed,65_74,high,item_drug_AZITHROMYCIN,AZITHROMYCIN,17,0.0008700850622635
non_opioid_ed,65_74,high,item_drug_BENZONATATE,BENZONATATE,19,0.0007840674423575
non_opioid_ed,65_74,high,item_drug_CARVEDILOL,CARVEDILOL,12,0.0020743226644782
non_opioid_ed,65_74,high,item_drug_CEPHALEXIN,CEPHALEXIN,14,0.0014733218875513
