combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_AZITHROMYCIN|item_drug_DIAZEPAM|item_drug_LORAZEPAM,AZITHROMYCIN + DIAZEPAM + LORAZEPAM,3,5,0.06961723361868259,7281,7281
item_drug_AZITHROMYCIN|item_drug_BACLOFEN,AZITHROMYCIN + BACLOFEN,2,5,0.06898800686064886,7281,7281
item_drug_ALPRAZOLAM|item_drug_BACLOFEN|item_drug_LYRICA,ALPRAZOLAM + BACLOFEN + LYRICA,3,5,0.06887866178384697,7281,7281
item_drug_AZITHROMYCIN|item_drug_DIAZEPAM|item_drug_LYRICA,AZITHROMYCIN + DIAZEPAM + LYRICA,3,5,0.06855418173492653,7281,7281
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_BACLOFEN,AMOXICILLIN + AZITHROMYCIN + BACLOFEN,3,5,0.0684919119074061,7281,7281
item_drug_FLUCONAZOLE|item_drug_GABAPENTIN|item_drug_LORAZEPAM,FLUCONAZOLE + GABAPENTIN + LORAZEPAM,3,5,0.06842441887738207,5396,5396
item_drug_CEPHALEXIN|item_drug_CLONAZEPAM|item_drug_LYRICA,CEPHALEXIN + CLONAZEPAM + LYRICA,3,5,0.06805095959653215,7281,7281
item_drug_BACLOFEN|item_drug_CLONAZEPAM|item_drug_DIAZEPAM,BACLOFEN + CLONAZEPAM + DIAZEPAM,3,5,0.0678069899051701,7281,7281
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_LORAZEPAM,AZITHROMYCIN + CEPHALEXIN + LORAZEPAM,3,5,0.06772384461082685,7281,7281
item_drug_CLONAZEPAM|item_drug_LORAZEPAM|item_drug_LYRICA,CLONAZEPAM + LORAZEPAM + LYRICA,3,5,0.06743980389195922,7281,7281
item_drug_ARIPIPRAZOLE|item_drug_CLONAZEPAM|item_drug_PREDNISONE,ARIPIPRAZOLE + CLONAZEPAM + PREDNISONE,3,5,0.0669836662022931,7278,7278
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_LYRICA,AZITHROMYCIN + CEPHALEXIN + LYRICA,3,5,0.06666079272707079,7281,7281
item_drug_AZITHROMYCIN|item_drug_BACLOFEN|item_drug_DIAZEPAM,AZITHROMYCIN + BACLOFEN + DIAZEPAM,3,5,0.06641682303570874,7281,7281
item_drug_ALPRAZOLAM|item_drug_ARIPIPRAZOLE|item_drug_PREDNISONE,ALPRAZOLAM + ARIPIPRAZOLE + PREDNISONE,3,5,0.0662096615752558,7278,7278
item_drug_AZITHROMYCIN|item_drug_LORAZEPAM|item_drug_LYRICA,AZITHROMYCIN + LORAZEPAM + LYRICA,3,5,0.06604963702249789,7281,7281
item_drug_BACLOFEN|item_drug_CEPHALEXIN|item_drug_CLONAZEPAM,BACLOFEN + CEPHALEXIN + CLONAZEPAM,3,5,0.06591360089731436,7281,7281
item_drug_BACLOFEN|item_drug_CLONAZEPAM|item_drug_LORAZEPAM,BACLOFEN + CLONAZEPAM + LORAZEPAM,3,5,0.06530244519274143,7281,7281
item_drug_AMOXICILLIN|item_drug_LYRICA|item_drug_OMEPRAZOLE,AMOXICILLIN + LYRICA + OMEPRAZOLE,3,5,0.06481663279209349,7281,7281
item_drug_AZITHROMYCIN|item_drug_BACLOFEN|item_drug_CEPHALEXIN,AZITHROMYCIN + BACLOFEN + CEPHALEXIN,3,5,0.064523434027853,7281,7281
item_drug_BACLOFEN|item_drug_CLONAZEPAM|item_drug_LYRICA,BACLOFEN + CLONAZEPAM + LYRICA,3,5,0.06423939330898538,7281,7281
item_drug_AZITHROMYCIN|item_drug_BACLOFEN|item_drug_LORAZEPAM,AZITHROMYCIN + BACLOFEN + LORAZEPAM,3,5,0.06391227832328009,7281,7281
item_drug_DIAZEPAM|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,DIAZEPAM + LORAZEPAM + OMEPRAZOLE,3,5,0.06380459580415218,7281,7281
item_drug_LYRICA|item_drug_OMEPRAZOLE,LYRICA + OMEPRAZOLE,2,5,0.06347508818767997,7281,7281
item_drug_AZITHROMYCIN|item_drug_BACLOFEN|item_drug_LYRICA,AZITHROMYCIN + BACLOFEN + LYRICA,3,5,0.06284922643952402,7281,7281
item_drug_DIAZEPAM|item_drug_LYRICA|item_drug_OMEPRAZOLE,DIAZEPAM + LYRICA + OMEPRAZOLE,3,5,0.06274154392039613,7281,7281
