combination,drug_names,interaction_size,n_bins,mean_combined_importance,max_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_CEPHALEXIN|item_drug_IBUPROFEN|item_drug_LISINOPRIL,CEPHALEXIN + IBUPROFEN + LISINOPRIL,3,5,0.017434932306647034,0.025423600512154133,8624,8624
item_drug_ALPRAZOLAM|item_drug_ATENOLOL|item_drug_LEVOFLOXACIN,ALPRAZOLAM + ATENOLOL + LEVOFLOXACIN,3,5,0.017318000416120118,0.034675962666239436,591,568
item_drug_ALPRAZOLAM|item_drug_BENZONATATE|item_drug_FUROSEMIDE,ALPRAZOLAM + BENZONATATE + FUROSEMIDE,3,5,0.01728273404957135,0.0311173346909695,4339,4339
item_drug_AMOXICILLIN|item_drug_CARVEDILOL|item_drug_FUROSEMIDE,AMOXICILLIN + CARVEDILOL + FUROSEMIDE,3,5,0.017004395695526676,0.03565143300571046,4780,2614
item_drug_ATENOLOL|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,ATENOLOL + LORAZEPAM + OMEPRAZOLE,3,5,0.0169919939874923,0.03918677769843736,436,385
item_drug_CARVEDILOL|item_drug_HYDROCHLOROTHIAZIDE|item_drug_METRONIDAZOLE,CARVEDILOL + HYDROCHLOROTHIAZIDE + METRONIDAZOLE,3,5,0.016648910214167124,0.0247482905357634,1991,1991
item_drug_FUROSEMIDE|item_drug_MELOXICAM,FUROSEMIDE + MELOXICAM,2,5,0.01659358497966807,0.04482726324463845,4765,4467
item_drug_AMOXICILLIN|item_drug_FUROSEMIDE|item_drug_MELOXICAM,AMOXICILLIN + FUROSEMIDE + MELOXICAM,3,5,0.016518869621023946,0.03512148444007004,4765,4467
item_drug_BENZONATATE|item_drug_IBUPROFEN|item_drug_KETOCONAZOLE,BENZONATATE + IBUPROFEN + KETOCONAZOLE,3,5,0.01621639771368098,0.03789904909988127,9597,9597
item_drug_ALPRAZOLAM|item_drug_BENZONATATE|item_drug_SIMVASTATIN,ALPRAZOLAM + BENZONATATE + SIMVASTATIN,3,5,0.01529562244466306,0.034016284304174534,4339,4339
