title,pubdate,pmc_id,authors
External validation of a claims-based model to predict left ventricular ejection fraction class in patients with heart failure.,2021,PMC8177622,"Mahesri, Chin, Kumar, Barve, Studer, Lahoz, Desai"
Forecasting on Covid-19 infection waves using a rough set filter driven moving average models.,2022,PMC9628244,"Srivastava, Meena, Singh"
Health care resource utilization and costs associated with advanced or metastatic nonsmall cell lung cancer in the United States.,2022,PMC12128940,"Zhang, Beachler, Masters, Liu, Yang, Dinh, Jamal-Allial, Kolitsopoulos, Lamy"
Health-Analytics Data to Evidence Suite (HADES): Open-Source Software for Observational Research.,2024,PMC10868467,"Schuemie, Reps, Black, Defalco, Evans, Fridgeirsson, Gilbert, Knoll, Lavallee, Rao, Rijnbeek, Sadowski, Sena, Swerdel, Williams, Suchard"
Healthcare costs and mortality associated with serious fluoroquinolone-related adverse reactions.,2022,PMC8848630,"Kuula, Backman, Blom"
"Hip Arthroscopy Trends: Increasing Patient Out-of-Pocket Costs, Lower Surgeon Reimbursement, and Cost Reduction With Utilization of Ambulatory Surgery Centers.",2023,NA,"Tiao, Wang, Herrera, Rosenberg, Carbone, Zubizarreta, Anthony"
Hospital Expenditure at the End-of-Life: A Time-to-Death Approach.,2022,PMC9278609,"Alipour, Pourreza, Kosheshi, Heydari, Emamgholipour Sefiddashti"
How well do clinical and demographic characteristics predict Patient Health Questionnaire-9 scores among patients with treatment-resistant major depressive disorder in a real-world setting?,2021,PMC7882175,"Voelker, Joshi, Daly, Papademetriou, Rotter, Sheehan, Kuvadia, Liu, Dasgupta, Potluri"
Hydroxychloroquine and immunosuppressant adherence patterns and their association with subsequent hospitalization rates among children with systemic lupus erythematosus.,2022,PMC9724699,"Chang, Costenbader"
Identifying Measures of Suboptimal Healthcare Interaction (SOHI) to Develop a Claims-Based Model for Predicting Patients with Inflammatory Bowel Disease at Risk for SOHI.,2023,PMC10188318,"Korrer, Naegeli, Etemad, Johnson, Gottlieb"
Identifying Risk Factors for Cardiovascular Events Among Active-Duty Service Members and Veterans Prescribed Nonsteroidal Anti-Inflammatory Drugs (NSAIDs).,2024,PMC10950002,"Forbes, Petway, Gressler, Thorfinnson, Costantino, Atkinson"
Impact of Area Deprivation Index on the Performance of Claims-Based Risk-Adjustment Models in Predicting Health Care Costs and Utilization.,2021,NA,"Chang, Hatef, Ma, Weiner, Kharrazi"
Impact of Vagus Nerve Stimulation for the Treatment of Drug-resistant Epilepsy on Patterns of Use and Cost of Health Care Services and Pharmacotherapy: Comparisons of the 24-Month Periods Before and After Implantation.,2023,NA,"Evans, Stamas, Li, Vincent, Halchenko, Zhang, Danielson, Murphy, Barion, Lam, Lassagne, Berger"
Impact of Vagus Nerve Stimulation for the Treatment of Drug-resistant Epilepsy on Patterns of Use and Cost of Healthcare Services and Pharmacotherapy Among Medicare Enrollees: Findings From Analyses of Healthcare Claims From the Centers of Medicare and Medicaid Services.,2025,NA,"Evans, Li, Halchenko, Zhang, Danielson, Lassagne, Do Rego, Berger"
Impact of coronavirus disease 2019 on cancer care: How the pandemic has changed cancer utilization and expenditures.,2024,PMC10852310,"Sim, Shin, Lee, Lee, Kim"
Impact of multimorbidity on healthcare costs in patients with type 2 diabetes in China: a longitudinal analysis of health insurance claims data.,2025,PMC12590856,"Chen, Zhang, Chen"
Impact of reimbursement restriction on drug market sales under the National Health Insurance in Japan.,2022,NA,"Mamiya, Igarashi"
Impact of the COVID-19 pandemic on incidence of psychiatric disorders using nationwide cohort data and ARIMA models.,2025,PMC12304157,"Seo, Lee, Kang, Kim, Jung, Kang"
Impact of treatment patterns and sequencing on clinical and economic outcomes in patients with metastatic urothelial cancer: IMPACT UC II study.,2025,PMC12517744,"Bilen, Diessner, White, Murphy, Nguyen, Kirker, Gharibian, Morris, Bhanegaonkar"
Improved Prediction of Body Mass Index in Real-World Administrative Healthcare Claims Databases.,2022,NA,"Lan, Wu, Sharma, Gadhia, Ashton"
Improving suicide risk prediction via targeted data fusion: proof of concept using medical claims data.,2022,PMC8800522,"Xu, Su, Li, Rogers, Wang, Chen, Aseltine"
Increased health care costs associated with new persistent opioid use after major surgery in opioid-naive patients.,2021,PMC8177715,"Brummett, Evans-Shields, England, Kong, Lew, Henriques, Zimmerman, Sun"
Insights into prescribing patterns for antidepressants: an evidence-based analysis.,2025,PMC11773954,"Min, Alemi"
Interpretable disease prediction using heterogeneous patient records with self-attentive fusion encoder.,2021,PMC8449612,"Kwak, Chang, Choe, Park, Jung"
Investigating the impact of development and internal validation design when training prognostic models using a retrospective cohort in big US observational healthcare data.,2021,PMC8710861,"Reps, Ryan, Rijnbeek"
Lace Index: Predict the High-Risk of 30-Days Readmission of Patients With Acute Myocardial Infarction: National Health Insurance Claims Data 2011-2020.,2025,PMC12482977,"Rajaguru, Han, Jang, Shin, Lee, Kim"
Large-Scale Postmarketing Surveillance of Biological Drugs for Immune-Mediated Inflammatory Diseases Through an Italian Distributed Multi-Database Healthcare Network: The VALORE Project.,2021,PMC8507511,"Trifirò, Isgrò, Ingrasciotta, Ientile, L'Abbate, Foti, Belleudi, Poggi, Fontana, Moretti, Lora, Sabaini, Senesi, Sorrentino, Puzo, Padula, Fusco, Giordana, Solfrini, Puccini, Rossi, Del Zotto, Leoni, Zanforlini, Ancona, Bavaro, Garau, Ledda, Scondotto, Allotta, Tuccori, Gini, Bucaneve, Franchini, Cavazzana, Biasi, Spila Alegiani, Massari"
Machine Learning Prediction Models for Chronic Kidney Disease Using National Health Insurance Claim Data in Taiwan.,2021,PMC8151834,"Krishnamurthy, Ks, Dovgan, Luštrek, Gradišek Piletič, Srinivasan, Li, Gradišek, Syed-Abdul"
Machine Learning Prediction of Discharge Destination in Patients with Parkinson's Disease; A Nationwide Cohort Study.,2026,PMC12803352,"Kamo, Mehta, Remz, Burke, Brooks, Smiley, Okun, Hess"
Machine Learning and Intelligent Diagnostics in Dental and Orofacial Pain Management: A Systematic Review.,2021,PMC8093041,"Farook, Jamayet, Abdullah, Alam"
Machine Learning for Workflow Applications in Screening Mammography: Systematic Review and Meta-Analysis.,2022,PMC8717814,"Hickman, Woitek, Le, Im, Mouritsen Luxhøj, Aviles-Rivero, Baxter, MacKay, Gilbert"
"Machine Learning on Medicare Claims Poorly Predicts the Individual Risk of 30-Day Unplanned Readmission After Total Joint Arthroplasty, Yet Uncovers Interesting Population-level Associations With Annual Procedure Volumes.",2023,PMC10427054,"Kunze, So, Padgett, Lyman, MacLean, Fontana"
Machine learning for predicting cardiovascular events in older adults with type 2 diabetes using Medicare claims and electronic health records.,2025,PMC12787826,"Htoo, Paik, Everett, Glynn, Bykov, Hahn, Liu, Wexler, Patorno"
Machine learning versus regression modelling in predicting individual healthcare costs from a representative sample of the nationwide claims database in France.,2022,PMC6245495,"Vimont, Leleu, Durand-Zaleski"
Machine learning-based algorithms applied to drug prescriptions and other healthcare services in the Sicilian claims database to identify acromegaly as a model for the earlier diagnosis of rare diseases.,2024,PMC10940660,"Crisafulli, Fontana, L'Abbate, Vitturi, Cozzolino, Gianfrilli, De Martino, Amico, Combi, Trifirò"
Machine learning-based model for predicting 1 year mortality of hospitalized patients with heart failure.,2021,PMC8497366,"Tohyama, Ide, Ikeda, Kaku, Enzan, Matsushima, Funakoshi, Kishimoto, Todaka, Tsutsui"
Modeling healthcare demands and long-term costs following pediatric traumatic brain injury.,2024,PMC11638116,"Wiegand, Moazzam, Braga, Messiah, Qureshi"
Modeling the Cost-Utility of Treatment Sequences for Multiple Sclerosis.,2021,NA,"Huygens, Versteegh"
Multi-omics analysis reveals aspirin is associated with reduced risk of Alzheimer's disease.,2025,PMC12036415,"Grabowska, Vaidya, Zhong, Guardo, Dickson, Babanejad, Yan, Xin, Mundo, Peterson, Feng, Eaton, Wen, Li, Wei"
Multivariable machine learning models for clinical prediction of subsequent hip fractures in older people using the Chinese population database.,2024,NA,"Huang, Wang, Xu, Guo, Chen, Xue"
Nationwide Trends in Non-COVID-19 Infectious Disease Laboratory Tests in the Era of the COVID-19 Pandemic in Korea.,2023,PMC10695754,"Kim, Kim, Bang, Hong, Radnaabaatar, Huh, Hong, Jung"
Neural network analysis of the contribution of psychotropic prescription sequences to the risk of non-psychiatric adverse events in bipolar and schizophrenia spectrum disorders.,2025,PMC12443787,"Vidal, Sedki, Younès, Bottemanne, Roux, Brunet-Gouet"
"New means, new measures: assessing prescription drug-seeking indicators over 10 years of the opioid epidemic.",2022,PMC8664959,"Perry, Odabaş, Yang, Lee, Kaminski, Aronson, Ahn, Oser, Freeman, Talbert"
Oedema as a predictor of the incidence of new pressure injuries in adults in any care setting: A systematic review and meta-analysis.,2022,NA,"Chaboyer, Coyer, Harbeck, Thalib, Latimer, Wan, Tobiano, Griffin, Campbell, Walker, Carlini, Lockwood, Clark, Gillespie"
Personalized risk assessment of frailty in long-term cancer survivors.,2026,NA,"Forman, Westvold, Long, Fan, Hyslop, Conlin, Jacobson, Wang, Leapman, Cecchini, Leeds, Spees, Presley, Yasin, Taylor, Kwaramba, Gross, Oeffinger, Dinan"
Predicting Healthcare Utilization Outcomes With Artificial Intelligence: A Large Scoping Review.,2026,NA,"Gallego-Moll, Carrasco-Ribelles, Casajuana, Maynou, Arocena, Violán, Zabaleta-Del-Olmo"
Predicting Risk of 1-Year Hospitalization Among Patients with Pulmonary Arterial Hypertension.,2023,PMC10079144,"Zhang, Tsang, He, Panjabi"
Predicting demand for long-term care using Japanese healthcare insurance claims data.,2022,PMC9640742,"Sato, Mitsutake, Kitsuregawa, Ishikawa, Goda"
Predicting five-year comorbid bipolar disorder after attention-deficit/hyperactivity disorder diagnosis: a population-based machine learning approach.,2025,PMC12776958,"Yang, Hsu, Wang, Hung, Chen, Liang, Chen"
Predicting mid- and late-life dementia risk in primary care: A prognostic study from a national health screening cohort.,2024,NA,"Jung, Park, Kim, Lee, Park, Jeong, Lee, Han, Shin"
Predicting postoperative opioid use with machine learning and insurance claims in opioid-naïve patients.,2021,PMC8373633,"Hur, Tang, Gunaseelan, Vu, Brummett, Englesbe, Waljee, Wiens"
Predictive Analytics for Glaucoma Using Data From the All of Us Research Program.,2021,PMC8184631,"Baxter, Saseendrakumar, Paul, Kim, Bonomi, Kuo, Loperena, Ratsimbazafy, Boerwinkle, Cicek, Clark, Cohn, Gebo, Mayo, Mockrin, Schully, Ramirez, Ohno-Machado"
Predictive Modeling of Sjögren's Disease Using US Healthcare Claims Data.,2025,NA,"Mao, Xu, Gomez, Thyvalikakath"
Predictive analytics for step-up therapy: Supervised or semi-supervised learning?,2021,NA,"Morid, Lau, Del Fiol"
Predictive modeling to identify potential participants of a disease management program hypertension.,2021,NA,"Lenti, Kottmair, Stock, Shukri, Müller"
Predictive models for low birth weight: a comparative analysis of algorithmic fairness-improving approaches.,2025,PMC12109546,"Brown, Gomez-Acevedo, Amick, Tilford, Bryant-Moore, Thomsen"
Predictors of diagnostic transition from major depressive disorder to bipolar disorder: a retrospective observational network study.,2021,PMC8688463,"Nestsiarovich, Reps, Matheny, DuVall, Lynch, Beaton, Jiang, Spotnitz, Pfohl, Shah, Torre, Reich, Lee, Son, You, Park, Ryan, Lambert"
Pretrained transformer framework on pediatric claims data for population specific tasks.,2022,PMC8901645,"Zeng, Linwood, Liu"
Prevalence and impact of antipsychotic discontinuation among commercially-insured patients with bipolar disorder.,2023,NA,"Khandker, Chekani, Limone, Riehle"
Projected burden of femoral fracture surgeries in Japan through 2035: a nationwide population-based modeling study.,2025,PMC5010762,"Kobayashi, Fujii, Morimoto"
Projected numbers of knee and hip arthroplasties up to the year 2030 in Japan.,2023,NA,"Matsuoka, Nanmo, Nojiri, Nagao, Nishizaki"
Projections of Public Spending on Pharmaceuticals: A Review of Methods.,2025,PMC11929675,"Odnoletkova, Chalon, Devriese, Cleemput"
Real-world data for precision public health of noncommunicable diseases: a scoping review.,2022,PMC9694563,"Canfell, Kodiyattu, Eakin, Burton-Jones, Wong, Macaulay, Sullivan"
