feature,importance_normalized,importance_scaled,n_models,models
item_DIVALPROEX SODIUM ER,0.022200396106813628,0.0026568022996882198,3,"catboost,xgboost,xgboost_rf"
item_AMOXICILLIN,0.02185060276037137,0.0026149412552828816,3,"catboost,xgboost,xgboost_rf"
item_SERTRALINE HCL,0.021808575947121125,0.002609911753396762,3,"catboost,xgboost,xgboost_rf"
item_KLOR-CON M20,0.021570688376940376,0.0025814428810179723,3,"catboost,xgboost,xgboost_rf"
item_BUTALBITAL/ACETAMINOPHEN/,0.021214960876735266,0.002538871674807953,3,"catboost,xgboost,xgboost_rf"
item_MORPHINE SULFATE,0.021107440904411984,0.002526004367920431,3,"catboost,xgboost,xgboost_rf"
item_SOTALOL HCL,0.020407034648659905,0.00244218419903493,3,"catboost,xgboost,xgboost_rf"
item_CLINDAMYCIN HYDROCHLORIDE,0.020404250031680712,0.0024418509537739684,3,"catboost,xgboost,xgboost_rf"
item_MYRBETRIQ,0.020344375288582846,0.002434685525085656,3,"catboost,xgboost,xgboost_rf"
item_TORSEMIDE,0.020313467915952833,0.0024309867271774723,3,"catboost,xgboost,xgboost_rf"
item_LOSARTAN POTASSIUM/HYDROC,0.01993300553282724,0.002385455407395178,3,"catboost,xgboost,xgboost_rf"
item_SEVELAMER CARBONATE,0.019920179529374343,0.002383920472824393,3,"catboost,xgboost,xgboost_rf"
item_MUPIROCIN,0.01975999637716066,0.0023647507712963194,3,"catboost,xgboost,xgboost_rf"
item_BUPROPION HYDROCHLORIDE E,0.019627751226526442,0.002348924512222511,3,"catboost,xgboost,xgboost_rf"
item_CALCITRIOL,0.01957007722734156,0.0023420224545777114,3,"catboost,xgboost,xgboost_rf"
item_BREO ELLIPTA,0.01900408079823014,0.002274287599431725,3,"catboost,xgboost,xgboost_rf"
item_MAGNESIUM OXIDE,0.018409940189411497,0.002203184627743618,3,"catboost,xgboost,xgboost_rf"
item_XIFAXAN,0.01826539004748097,0.002185885785522356,3,"catboost,xgboost,xgboost_rf"
item_HUMALOG,0.018110806754723367,0.002167386239581114,3,"catboost,xgboost,xgboost_rf"
item_SENSIPAR,0.017713722389292613,0.0021198657066063497,3,"catboost,xgboost,xgboost_rf"
item_FERROUS SULFATE,0.017575462890589418,0.0021033196885830202,3,"catboost,xgboost,xgboost_rf"
item_IPRATROPIUM BROMIDE/ALBUT,0.017335784519056884,0.0020746365044808355,3,"catboost,xgboost,xgboost_rf"
item_BASAGLAR KWIKPEN,0.01686776473634877,0.00201862687163393,3,"catboost,xgboost,xgboost_rf"
item_SPIRIVA HANDIHALER,0.01684139048000022,0.00201547056826969,3,"catboost,xgboost,xgboost_rf"
item_VIMPAT,0.0167958554719484,0.002010021227927908,3,"catboost,xgboost,xgboost_rf"
item_DEXILANT,0.016765116529996984,0.002006342586732788,3,"catboost,xgboost,xgboost_rf"
