feature,importance_normalized,importance_scaled,n_models,models
item_XIIDRA,0.004865089678491092,0.0006512911108963389,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_PARICALCITOL,0.004864756942795123,0.0006512465674623257,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ENULOSE,0.004848277146507767,0.00064904041186384,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ETHAMBUTOL HYDROCHLORIDE,0.004822478295623804,0.0006455867114466925,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_FENOFIBRATE MICRONIZED,0.004819284853907079,0.0006451592043829555,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_IMIQUIMOD,0.004811413585417208,0.0006441054751533392,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_PREVIDENT 5000 BOOSTER PL,0.004810456671311079,0.0006439773727559736,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_TOPROL XL,0.004797397708022309,0.0006422291651648372,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_MILK OF MAGNESIA,0.00478014433106329,0.0006399194500744797,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_BD INSULIN SYRINGE ULTRAF,0.004776424549877507,0.0006394214817777204,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_PROPAFENONE HYDROCHLORIDE,0.004758000336055488,0.0006369550263821323,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_FIBER-LAX,0.004750504141759769,0.0006359515084548188,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ZIPRASIDONE HCL,0.004727104580274681,0.0006328190016766833,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_TEKTURNA,0.004709303511187461,0.0006304359668659964,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_SYSTANE,0.004679250509882271,0.0006264127619716733,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ACEBUTOLOL HCL,0.004674804005574702,0.000625817507018227,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ADACEL,0.00466804084604319,0.0006249121206891895,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_NUEDEXTA,0.004634282267341826,0.0006203928489639636,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_DEXAMETHASONE SODIUM PHOS,0.004623036928640487,0.0006188874318762621,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_FENOFIBRIC ACID DR,0.004622156057060223,0.0006187695093161492,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_XALATAN,0.004621615983798218,0.0006186972095358734,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_SYSTANE BALANCE RESTORATI,0.0046094163007005745,0.0006170640340586822,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_BETIMOL,0.004604206936996063,0.0006163666548738391,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_AMLODIPINE BESYLATE/ATORV,0.004574766948600703,0.000612425514213769,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_HUMULIN N KWIKPEN,0.004551432594479053,0.0006093017367662273,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_RAPAFLO,0.004546313253741162,0.0006086164089847111,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_DUTASTERIDE/TAMSULOSIN HY,0.0045348349584597904,0.0006070798059251515,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_BUTRANS,0.004505996651906459,0.0006032192126056645,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_HALOPERIDOL LACTATE,0.004473415288301073,0.0005988575350417576,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_MINOXIDIL,0.004472390891071152,0.0005987203986570319,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
